734 69
probeset	cond0	cond1	cond2	cond3	cond4	cond5	cond6	cond7	cond8	cond9	cond10	cond11	cond12	cond13	cond14	cond15	cond16	cond17	cond18	cond19	cond20	cond21	cond22	cond23	cond24	cond25	cond26	cond27	cond28	cond29	cond30	cond31	cond32	cond33	cond34	cond35	cond36	cond37	cond38	cond39	cond40	cond41	cond42	cond43	cond44	cond45	cond46	cond47	cond48	cond49	cond50	cond51	cond52	cond53	cond54	cond55	cond56	cond57	cond58	cond59	cond60	cond61	cond62	cond63	cond64	cond65	cond66	cond67	cond68
AT2G26540	-3.16733	-6.30643	2.48582	1.85654	-1.15924	-2.90568	1.65543	3.51410	11.02174	-2.26652	-1.57603	-2.71585	-1.76711	-1.24042	-7.17094	-10.84954	7.76912	-2.26298	-9.01122	-8.98665	15.77894	6.84971	-2.33819	2.98807	16.27342	6.28565	11.75199	3.14804	-1.87760	-3.87963	-4.55278	3.02871	14.09865	3.15777	5.42359	-1.79263	-1.07002	50.05983	1.43960	1.51966	4.24604	-3.63958	5.27866	9.49835	1.63980	3.70248	1.91533	-2.11985	6.30900	9.29016	22.49250	-7.50376	-3.61641	-2.05554	22.04560	-79.90397	13.77752	3.21280	-4.19406	9.02247	-3.58788	1.51473	8.79038	2.83181	-5.33883	-4.92903	-2.09726	-8.37828	-5.24918
245071_at	-0.32458	1.30238	-1.77974	4.32291	1.31754	8.19736	0.90947	5.88495	6.57881	0.57943	-0.32922	0.53064	-0.45497	-0.92481	-0.36625	-0.46611	2.64193	-1.70951	1.49830	0.75647	1.05758	0.40533	1.07194	0.70264	-0.87912	1.49287	-3.45415	4.14924	-1.30628	0.30789	-5.19089	-1.31754	0.55329	-0.36336	-0.74407	0.58056	-0.80314	-1.14355	0.48186	-0.27817	0.67932	-1.17925	2.02116	-0.37962	0.95181	-0.34107	0.97744	-30.84375	1.26824	0.00000	0.59365	-0.36758	0.44151	-0.33695	4.94791	-0.84429	3.04486	-0.81807	-1.20997	-2.81815	0.00000	-1.04501	-0.84429	0.50658	1.70951	-0.70670	2.75809	-0.66778	-0.52068
245089_at	0.77859	0.97671	9.18603	15.72292	1.41399	-0.87097	-5.61050	-2.18452	-2.05554	-20.12594	1.68485	-4.15513	1.13296	-45.40026	4.31536	2.49184	-3.36847	-8.02809	4.74457	11.52386	2.05875	2.61611	0.82142	-1.56829	-14.41854	-1.02485	-1.19776	-1.80123	0.44234	1.33853	0.82251	0.95325	1.19198	0.81055	1.16223	1.05846	0.78164	0.82369	-4.03657	3.32403	-1.58401	1.47598	1.38548	2.41860	0.90127	1.43125	0.75238	-11.48817	1.57470	32.09147	2.13388	2.68169	5.18282	0.71191	0.53221	0.86569	0.54428	0.60722	0.69575	0.63827	-21.24077	0.85614	2.06477	0.82197	-4.71928	7.16082	-0.65935	-0.63374	1.25928
AT2G41540	-3.38068	-1.31068	-12.42932	-2.80825	1.34934	-3.35450	0.19602	0.20953	0.26903	-18.11082	-12.84960	-0.71146	2.59528	-2.72752	13.88672	-0.36486	4.25704	3.19157	17.97517	2.16755	2.77121	3.16357	0.55389	-2.58012	-5.93226	-2.42348	-3.34133	-3.05472	0.63093	2.84568	-17.82463	10.82965	1.04320	1.25483	1.43520	0.93493	0.88468	1.13641	-1.39162	-2.51920	-1.96865	-1.35922	-2.96661	-1.15718	-1.55462	9.65809	-1.69032	63.21847	-11.06065	-1.90162	-1.92588	-38.24582	-60.02588	0.55556	0.57486	1.45546	-1.05333	0.57233	0.68964	-0.67321	-29.86700	-12.53321	-1.22626	1.25146	3.25279	26.10701	0.31177	0.58518	4.98797
AT2G45440	1.68985	1.91219	-11.89870	-1.45894	-33.17282	8.73677	1.10297	1.14556	1.35467	-26.33037	2.31905	44.80979	1.21595	-1.27487	7.54323	-5.18222	-3.19038	-5.42806	-1.58738	3.21208	2.74115	14.49282	-11.65830	5.59644	2.11001	-10.92384	10.74005	15.43670	-2.11309	10.70480	2.98004	9.67326	1.81569	1.43664	5.85341	4.04186	1.96888	1.37419	-3.64997	2.27050	1.84681	16.35700	1.97613	-3.96647	12.79534	-2.19267	1.75126	-5.70256	2.60018	-2.67910	2.28230	5.25066	1.38215	0.37994	0.37777	-2.27496	-0.61910	-0.93836	0.30995	0.34541	-7.77700	1.11410	-3.72376	-6.35848	12.48092	1.94630	5.24336	5.04329	14.79599
AT2G33100	3.70248	-4.86030	-0.83740	6.71757	5.04474	-0.86487	-2.29108	0.62582	0.58088	-1.13296	-1.47115	-1.32739	-5.95800	-5.52676	1.47328	-1.50630	6.77703	-0.91169	3.14605	-6.08321	0.83276	-1.55775	0.00000	-1.18227	92.53472	-1.03325	-0.76900	-0.54176	0.73796	-0.61408	-2.83143	0.67749	-1.53677	2.22392	0.50671	-0.32963	1.80371	0.66082	0.80970	-2.54024	6.92569	0.44675	-7.48597	-1.22783	-1.77640	1.42431	1.04609	0.56137	-1.21266	0.49651	-0.97812	7.48597	-0.72314	-0.17391	-0.17864	0.44193	-0.85712	-1.12001	-0.14976	-0.15452	1.44534	6.38058	1.07608	1.19445	-2.49452	-9.50731	-2.53001	-2.40942	-109.17031
AT2G33150	2.26385	-7.78308	3.05093	3.11527	-7.99271	25.88574	-1.93791	-1.80029	-1.63363	3.18173	-9.97749	1.52543	-1.51777	45.64638	-1562.52701	14.98440	-6.70205	6.78985	3.31281	-22.60606	8.17600	-17.52102	8.38276	6.13953	-9.78554	1.47448	2.12686	1.90421	-2.44705	-7.67129	-27.63071	-322.47327	-6.04020	0.91621	1.38983	10.12730	4.41882	1.39785	2.83365	-13.26216	1.27754	-5.45995	4.95193	-2.55000	102.60812	12.43140	9.04619	-0.98817	-1.80190	-0.94067	3.10304	19.40096	1.65104	1.73700	1.79495	-1.47603	0.61508	0.74403	-6.05382	-3.48084	4.94875	-3.90552	20.40793	-1.96906	4.55339	2.81488	0.51477	0.56301	4.50665
245174_at	1.61213	-0.68618	-2.59757	-1.21932	2.19950	-1.26243	0.50544	0.52954	0.38163	-5.08128	2.24627	-3.61462	-7.24685	0.66579	0.79982	3.82350	-2.78574	10.58597	-2.57838	-1.44453	-276.21901	-3.00062	1.52555	-1.65825	-1.33205	-1.09259	-1.97992	-1.33205	0.86390	1.42556	1.21312	-1.32654	1.03903	1.09310	1.60363	2.68618	2.00082	1.04445	-9.52657	-2.25342	1.23193	-1.46496	-17.29971	-0.70303	-8.76641	41.35681	0.67874	-7.43576	-3.97225	-1.24031	0.86238	-9.90219	0.55600	0.66826	0.72681	-1.77974	-9.35321	0.60530	0.60935	0.57233	2.98367	-4.31692	-1.33827	-6.74069	-2.98918	-3.28225	-0.23183	-0.24503	1.13894
AT1G44446	-1.46132	-2.69226	-16.37316	17.03752	-2.26780	-1.43423	-2.86410	8.84222	-5.04776	-1.50125	-1.59231	2.83121	-3.58057	1.25852	3.58175	2.24145	124.36825	-14.74379	-4.40031	-2.43449	-0.91466	-1.24386	6.61389	-2.97979	-1.50395	-1.96383	-5.29251	-18.53833	-7.00426	-1.28162	-4.74920	-8.22867	-7.93282	-4.42104	5.15673	-0.91865	-1.33140	-3.81660	3.77376	1.44560	-14.69777	-1.80314	4.69282	-2.03642	2.18983	1.83131	0.89733	-2.25061	10.88603	-19.31484	-8.00697	-2.75528	20.40737	0.58298	1.07786	32.95157	1.01716	4.25893	1.77088	1.07786	-1.66061	8.18141	-0.96786	-1.10577	24.18613	3.96605	0.66929	0.53148	-2.35151
AT4G16760	4.73453	15.92062	1.69272	1.55411	-1.45913	-8.08422	14.68835	15.09973	3.60970	3.38473	-5.85961	-19.56698	-4.45277	1.58854	2.12195	1.62326	-4.19692	-26.69517	-4.47849	2.65063	3.41752	2.94638	10.03919	2.81490	7.06586	1.66576	3.07615	3.56510	29.74727	8.16867	-6.55482	-2.31568	-1.07742	-1.39375	-1.52178	-0.87804	-0.76900	-0.80560	7.66687	9.84258	5.13779	-1.81760	3.37010	12.58186	-7.83346	14.28000	-3.66876	-2.40358	-6.42444	-4.49868	5.54809	-3.91246	-8.16825	-1.09242	-0.98669	2.17293	2.07542	1.33371	-0.54090	-0.80091	-10.25280	-66.55977	0.43823	5.34478	0.88851	0.87260	1.18141	3.01985	-52.94799
