2884 17
probeset	cond0	cond1	cond2	cond3	cond4	cond5	cond6	cond7	cond8	cond9	cond10	cond11	cond12	cond13	cond14	cond15	cond16
gene0	161	110	139	139	161	139	110	161	161	110	161	195	220	139	139	139	161
gene1	208	139	69	110	139	110	139	161	161	110	139	139	179	139	161	139	110
gene2	425	429	451	423	465	395	472	448	416	507	466	464	432	463	494	458	484
gene3	289	248	220	161	161	110	179	139	139	110	110	161	161	139	161	139	179
gene4	366	364	340	256	283	208	240	208	195	208	179	208	208	195	220	208	264
gene5	271	300	347	300	304	294	337	294	277	309	300	326	314	309	322	277	283
gene6	179	69	139	110	161	110	161	161	161	110	139	179	179	139	139	110	161
gene7	240	179	139	161	179	139	195	208	195	139	161	179	195	161	179	179	179
gene8	179	161	139	139	208	161	208	208	179	179	161	179	179	195	179	161	179
gene9	337	326	322	330	397	326	376	358	322	333	314	333	343	337	353	314	337
gene10	195	220	179	161	264	179	248	264	230	220	220	220	230	220	208	179	230
gene11	294	289	264	230	264	248	283	283	264	256	240	256	277	240	264	248	256
gene12	271	300	300	462	300	300	340	309	289	294	289	300	304	304	314	277	277
gene13	264	110	110	139	208	161	179	179	161	161	208	220	230	179	161	139	195
gene14	139	69	69	69	0	0	69	69	69	0	69	0	69	69	0	69	0
gene15	264	248	264	230	264	230	271	264	240	208	230	240	240	195	208	179	220
gene16	179	110	139	110	110	69	110	110	69	69	69	110	110	110	69	69	110
gene17	277	264	277	264	283	248	300	277	283	248	271	289	294	256	277	248	248
gene18	264	256	277	240	230	248	340	343	343	304	304	294	283	294	330	330	340
gene19	304	333	369	347	340	322	353	330	314	318	330	347	347	326	340	304	294
gene20	277	353	353	309	340	330	381	347	314	294	294	309	322	326	322	277	322
gene21	161	161	161	378	179	179	220	179	195	179	161	179	208	179	179	161	161
gene22	240	161	179	179	195	161	220	208	195	139	179	195	195	179	195	179	195
gene23	161	0	0	69	110	69	110	69	69	0	69	69	69	69	69	0	69
gene24	350	353	314	318	361	330	376	369	350	330	356	361	350	343	353	350	350
gene25	358	300	294	289	322	283	347	314	309	347	326	333	322	326	350	322	309
gene26	220	139	161	179	195	161	195	179	179	179	179	179	208	179	195	195	179
gene27	271	283	300	283	289	256	314	304	283	240	248	271	271	264	294	248	289
gene28	110	139	195	161	161	139	161	110	69	110	139	179	179	110	110	69	69
gene29	0	110	110	69	110	69	110	69	69	69	69	110	110	69	69	0	69
gene30	264	326	347	300	314	314	350	326	314	318	300	309	322	304	326	277	304
gene31	337	333	366	161	333	304	347	330	314	314	289	314	322	322	322	289	314
gene32	179	110	139	110	110	69	110	69	69	0	110	110	110	69	69	69	69
gene33	448	397	441	420	463	385	444	429	399	507	456	453	417	441	467	441	461
gene34	408	353	314	309	340	304	343	343	340	350	353	347	326	318	318	300	350
gene35	385	374	333	340	389	343	403	397	389	433	389	374	358	366	383	374	358
gene36	248	220	195	208	264	220	264	256	248	240	220	220	256	230	240	220	208
gene37	350	333	350	326	353	300	340	358	333	353	318	340	343	314	333	326	340
gene38	230	195	195	195	230	195	208	240	230	230	208	195	208	195	208	179	208
gene39	353	337	343	309	294	294	340	333	340	385	364	383	350	374	404	350	414
gene40	271	277	283	248	256	256	256	277	277	271	271	271	271	240	264	240	264
gene41	304	304	294	256	283	289	300	300	283	300	277	289	283	264	277	264	283
gene42	337	271	277	240	283	248	264	264	277	277	294	314	289	277	283	271	289
gene43	220	161	161	161	179	161	161	195	195	139	161	161	179	139	179	161	139
gene44	347	309	333	356	385	340	374	350	330	326	347	353	347	326	333	309	309
gene45	256	139	161	161	139	139	139	139	139	161	139	161	161	139	110	69	161
gene46	256	161	161	195	220	179	179	208	195	208	179	208	208	161	179	139	208
gene47	110	110	110	110	110	110	161	161	161	110	139	139	179	110	110	69	139
gene48	294	369	383	330	350	340	376	358	333	326	304	318	314	314	343	309	330
gene49	304	179	195	208	208	220	256	240	256	264	256	264	289	240	264	264	271
gene50	240	230	208	161	161	139	110	110	110	69	69	69	110	110	0	69	0
gene51	195	139	139	110	139	139	161	110	139	0	110	139	161	110	110	139	110
gene52	161	69	69	69	69	69	69	69	69	69	0	69	69	69	69	0	0
gene53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene54	69	0	0	139	179	139	69	0	0	0	0	0	0	0	0	0	0
gene55	283	277	294	294	304	256	271	289	277	300	277	283	277	271	289	248	264
