gene1	YAL001C
gene2	YAL002W
gene3	YAL003W
gene4	YAL004W
gene5	YAL005C
gene6	YAL007C
gene7	YAL009W
gene8	YAL010C
gene9	YAL011W
gene10	YAL012W
gene11	YAL013W
gene12	YAL015C
gene13	YAL016W
gene14	YAL017W
gene15	YAL018C
gene16	YAL019W
gene17	YAL020C
gene18	YAL021C
gene19	YAL022C
gene20	YAL023C
gene21	YAL025C
gene22	YAL026C
gene23	YAL027W
gene24	YAL028W
gene25	YAL029C
gene26	YAL030W
gene27	YAL031C
gene28	YAL033W
gene29	YAL034W-A
gene30	YAL035C-A
gene31	YAL035W
gene32	YAL036C
gene33	YAL037W
gene34	YAL038W
gene35	YAL039C
gene36	YAL040C
gene37	YAL041W
gene38	YAL042W
gene39	YAL043C
gene40	YAL044C
gene41	YAL045C
gene42	YAL046C
gene43	YAL049C
gene44	YAL051W
gene45	YAL053W
gene46	YAL054C
gene47	YAL055W
gene48	YAL056W
gene49	YAL059W
gene50	YAL060W
gene51	YAL062W
gene52	YAL063C
gene53	YAL064W
gene54	YAL065C
gene55	YAL067C
gene56	YAL068C
gene57	YAR002C-A
gene58	YAR003W
gene59	YAR007C
gene60	YAR008W
gene61	YAR009C
gene62	YAR010C
gene63	YAR014C
gene64	YAR015W
gene65	YAR018C
gene66	YAR019C
gene67	YAR020C
gene68	YAR030C
gene69	YAR031W
gene70	YAR035W
gene71	YAR044W
gene72	YAR052C
gene73	YAR053W
gene74	YAR060C
gene75	YAR061W
gene76	YAR064W
gene77	YAR066W
gene78	YAR069C
gene79	YAR070C
gene80	YAR071W
gene81	YAR073W
gene82	YAR075W
gene83	YBL001C
gene84	YBL002W
gene85	YBL003C
gene86	YBL004W
gene87	YBL005W
gene88	YBL006C
gene89	YBL008W
gene90	YBL009W
gene91	YBL010C
gene92	YBL014C
gene93	YBL015W
gene94	YBL016W
gene95	YBL018C
gene96	YBL023C
gene97	YBL024W
gene98	YBL025W
gene99	YBL026W
gene100	YBL027W
gene101	YBL028C
gene102	YBL030C
gene103	YBL031W
gene104	YBL032W
gene105	YBL034C
gene106	YBL035C
gene107	YBL036C
gene108	YBL037W
gene109	YBL038W
gene110	YBL039C
gene111	YBL040C
gene112	YBL041W
gene113	YBL042C
gene114	YBL043W
gene115	YBL046W
gene116	YBL048W
gene117	YBL049W
gene118	YBL050W
gene119	YBL052C
gene120	YBL053W
gene121	YBL054W
gene122	YBL056W
gene123	YBL057C
gene124	YBL061C
gene125	YBL062W
gene126	YBL063W
gene127	YBL064C
gene128	YBL065W
gene129	YBL066C
gene130	YBL068W
gene131	YBL069W
gene132	YBL071C
gene133	YBL072C
gene134	YBL075C
gene135	YBL076C
gene136	YBL077W
gene137	YBL078C
gene138	YBL079W
gene139	YBL080C
gene140	YBL081W
gene141	YBL083C
gene142	YBL084C
gene143	YBL087C
gene144	YBL088C
gene145	YBL089W
gene146	YBL090W
gene147	YBL092W
gene148	YBL093C
gene149	YBL095W
gene150	YBL096C
gene151	YBL097W
gene152	YBL101C
gene153	YBL101W-A
gene154	YBL103C
gene155	YBL109W
gene156	YBL111C
gene157	YBL112C
gene158	YBL113C
gene159	YBR001C
gene160	YBR002C
gene161	YBR003W
gene162	YBR004C
gene163	YBR005W
gene164	YBR006W
gene165	YBR009C
gene166	YBR010W
gene167	YBR011C
gene168	YBR012W-A
gene169	YBR020W
gene170	YBR021W
gene171	YBR022W
gene172	YBR023C
