gene0	AT2G26540
gene1	AT2G41540
gene2	AT2G45440
gene3	AT2G45440
gene4	AT2G33100
gene5	AT2G33100
gene6	AT2G33150
gene7	AT2G33150
gene8	AT2G33150
gene9	AT2G33150
gene10	AT2G33150
gene11	AT1G44446
gene12	AT1G44446
gene13	AT1G44446
gene14	AT1G44446
gene15	AT1G44446
gene16	AT1G44446
gene17	AT4G16760
gene18	AT4G16760
gene19	AT4G16760
gene20	AT4G15210
gene21	AT4G15210
gene22	AT4G15210
gene23	AT4G15210
gene24	AT4G15210
gene25	AT4G15210
gene26	AT4G15560
gene27	AT4G15560
gene28	AT4G15560
gene29	AT4G15560
gene30	AT4G15560
gene31	AT4G15560
gene32	AT4G15560
gene33	AT4G15560
gene34	AT4G14210
gene35	AT4G14210
gene36	AT4G14210
gene37	AT4G14210
gene38	AT4G14210
gene39	AT4G14910
gene40	AT4G14910
gene41	AT4G17190
gene42	AT4G17190
gene43	AT4G17190
gene44	AT4G17090
gene45	AT4G17090
gene46	AT4G17090
gene47	AT4G17090
gene48	AT4G16740
gene49	AT4G16590
gene50	AT4G16590
gene51	AT4G16590
gene52	AT4G14940
gene53	AT5G04230
gene54	AT5G04230
gene55	AT5G04140
gene56	AT5G04140
gene57	AT5G04140
gene58	AT5G04140
gene59	AT5G04140
gene60	AT5G04140
gene61	AT5G04140
gene62	AT1G32200
gene63	AT1G32200
gene64	AT1G32200
gene65	AT1G32200
gene66	AT1G58440
gene67	AT1G58440
gene68	AT1G48850
gene69	AT1G48850
gene70	AT5G19530
gene71	AT5G19530
gene72	AT5G19530
gene73	AT5G19550
gene74	AT5G19550
gene75	AT5G19550
gene76	AT5G19550
gene77	AT5G19550
gene78	AT5G19550
gene79	AT5G13110
gene80	AT5G13110
gene81	AT5G08280
gene82	AT3G61510
gene83	AT3G61510
gene84	AT3G61510
gene85	AT3G61510
gene86	AT3G61510
gene87	AT4G36810
gene88	AT4G36810
gene89	AT4G36480
gene90	AT1G31860
gene91	AT1G31860
gene92	AT3G51840
gene93	AT3G51840
gene94	AT3G51840
gene95	AT3G51840
gene96	AT3G51840
gene97	AT3G51820
gene98	AT3G51820
gene99	AT3G51820
gene100	AT3G51820
gene101	AT5G16910
gene102	AT5G16910
gene103	AT5G14950
gene104	AT5G14950
gene105	AT5G14950
gene106	AT5G14800
gene107	AT5G14800
gene108	AT5G14800
gene109	AT5G14800
gene110	AT5G35360
gene111	AT5G35360
gene112	AT5G34850
gene113	AT5G34850
gene114	AT5G28020
gene115	AT5G28020
gene116	AT5G27450
gene117	AT5G27450
gene118	AT5G27450
gene119	AT5G27450
gene120	AT5G27380
gene121	AT5G27380
gene122	AT5G27380
gene123	AT5G27380
gene124	AT5G27380
gene125	AT5G27600
gene126	AT5G27600
gene127	AT5G26780
gene128	AT5G26780
gene129	AT5G26780
gene130	AT5G26780
gene131	AT5G25900
gene132	AT5G25900
gene133	AT5G25900
gene134	AT5G25900
gene135	AT5G25900
gene136	AT5G25900
gene137	AT5G25980
gene138	AT5G25980
gene139	AT5G25370
gene140	AT5G25370
gene141	AT5G49190
gene142	AT5G49190
gene143	AT5G49190
gene144	AT5G49190
gene145	AT5G48840
gene146	AT5G48840
gene147	AT5G48840
gene148	AT5G48300
gene149	AT5G48300
gene150	AT5G48300
gene151	AT5G48300
gene152	AT5G48230
gene153	AT5G48230
gene154	AT5G47770
gene155	AT5G47770
gene156	AT5G47770
gene157	AT5G45930
gene158	AT5G45930
gene159	AT5G45930
gene160	AT5G45930
gene161	AT5G45930
gene162	AT5G45300
gene163	AT5G44070
gene164	AT5G44070
gene165	AT5G44070
gene166	AT5G44070
gene167	AT5G44070
gene168	AT5G44070
gene169	AT5G43280
gene170	AT5G43280
gene171	AT5G42650
gene172	AT5G42650
gene173	AT5G42650
gene174	AT5G42650
gene175	AT5G42800
gene176	AT5G42800
gene177	AT5G42800
gene178	AT5G42800
gene179	AT5G42800
gene180	AT5G42800
gene181	AT5G42800
gene182	AT5G40650
gene183	AT5G40760
gene184	AT5G40760
gene185	AT5G35790
gene186	AT5G35790
gene187	AT5G35630
gene188	AT5G35630
gene189	AT5G35630
gene190	AT5G35630
gene191	AT5G24400
gene192	AT5G24400
gene193	AT5G24140
gene194	AT5G24150
gene195	AT5G24300
gene196	AT5G23300
gene197	AT5G23300
gene198	AT5G23010
gene199	AT5G23010
gene200	AT5G23010
gene201	AT5G23010
gene202	AT5G23010
gene203	AT5G23010
gene204	AT5G23020
gene205	AT5G23020
gene206	AT5G23020
gene207	AT5G23020
gene208	AT5G23020
gene209	AT5G19220
gene210	AT5G19220
gene211	AT5G19220
gene212	AT5G19220
gene213	AT5G19220
gene214	AT5G18670
gene215	AT5G17990
gene216	AT5G17990
gene217	AT5G17990
gene218	AT5G17990
gene219	AT5G17990
gene220	AT5G18070
gene221	AT5G18170
gene222	AT5G18170
gene223	AT5G18170
gene224	AT5G18170
gene225	AT5G18170
gene226	AT5G17230
gene227	AT5G17230
gene228	AT5G16570
gene229	AT5G16440
gene230	AT5G16440
gene231	AT5G16440
gene232	AT5G16440
gene233	AT5G16390
gene234	AT5G16390
gene235	AT5G16390
gene236	AT5G16390
gene237	AT5G16390
gene238	AT5G16390
gene239	AT5G16390
gene240	AT5G16390
gene241	AT5G16390
gene242	AT5G13930
gene243	AT5G13930
gene244	AT5G13930
gene245	AT5G13930
gene246	AT5G13930
gene247	AT5G13930
gene248	AT5G13930
gene249	AT5G13930
gene250	AT5G13930
gene251	AT5G13930
gene252	AT5G14220
gene253	AT5G13710
gene254	AT5G13710
gene255	AT5G13710
gene256	AT5G13710
gene257	AT5G13710
gene258	AT5G13280
gene259	AT5G13280
gene260	AT5G13280
gene261	AT5G13280
gene262	AT5G11380
gene263	AT5G11520
gene264	AT5G11520
gene265	AT5G11520
gene266	AT5G11520
gene267	AT5G11520
gene268	AT5G10870
gene269	AT5G10240
gene270	AT5G10240
gene271	AT5G09870
gene272	AT5G09870
gene273	AT5G08640
gene274	AT5G08640
gene275	AT5G08640
gene276	AT5G07990
gene277	AT5G07990
gene278	AT5G07990
gene279	AT5G07990
gene280	AT5G07990
gene281	AT5G07990
gene282	AT5G07440
gene283	AT5G07440
gene284	AT5G07440
gene285	AT5G07200
gene286	AT5G07200
gene287	AT5G05730
gene288	AT5G05730
gene289	AT5G05730
gene290	AT5G05730
gene291	AT5G05730
gene292	AT5G05730
gene293	AT5G05730
gene294	AT5G05730
gene295	AT5G05730
gene296	AT5G05170
gene297	AT5G05170
gene298	AT5G05170
gene299	AT5G05170
gene300	AT5G05170
gene301	AT5G05170
gene302	AT5G05170
gene303	AT5G05170
gene304	AT5G04620
gene305	AT5G03650
gene306	AT5G03650
gene307	AT3G63520
gene308	AT3G63520
gene309	AT3G63520
gene310	AT3G63520
gene311	AT3G63520
gene312	AT2G47650
gene313	AT2G47650
gene314	AT3G61440
gene315	AT3G61440
gene316	AT3G61440
gene317	AT3G60100
gene318	AT3G60100
gene319	AT3G59760
gene320	AT3G59760
gene321	AT3G59760
gene322	AT3G58740
gene323	AT3G58740
gene324	AT3G58750
gene325	AT3G58750
gene326	AT3G57550
gene327	AT3G57550
gene328	AT3G57550
gene329	AT3G57050
gene330	AT3G57050
gene331	AT3G55630
gene332	AT3G55630
gene333	AT3G55800
gene334	AT3G55800
gene335	AT2G39800
gene336	AT2G39800
gene337	AT2G39800
gene338	AT3G55440
gene339	AT3G55440
gene340	AT3G55440
gene341	AT3G55120
gene342	AT3G55120
gene343	AT3G55120
gene344	AT3G55120
gene345	AT3G55120
gene346	AT3G55120
gene347	AT3G55120
gene348	AT3G55120
gene349	AT3G55120
gene350	AT3G54660
gene351	AT3G54660
gene352	AT3G54660
gene353	AT3G54660
gene354	AT3G54480
gene355	AT3G54480
gene356	AT3G53520
gene357	AT3G53520
gene358	AT3G53520
gene359	AT3G53260
gene360	AT3G52940
gene361	AT3G52940
gene362	AT3G52940
gene363	AT3G52940
gene364	AT3G52940
gene365	AT3G52780
